Fecha,Portafolio_Agresivo,SPY_Benchmark
2024-01-02,9995.0,9995.0
2024-01-03,9849.475418405118,9913.37363799852
2024-01-04,9906.18984383685,9881.44208187877
2024-01-05,9914.38436052659,9894.975986459327
2024-01-08,10065.208182701044,10036.236115518885
2024-01-09,10080.87232077679,10021.010472865759
2024-01-10,10107.289689046582,10077.683698296838
2024-01-11,10107.945731786127,10073.242885856343
2024-01-12,10151.00574744066,10080.221305405692
2024-01-16,10193.449435743445,10043.214535068233
2024-01-17,10150.283244751692,9987.387178673438
2024-01-18,10265.534018135833,10076.20342748334
2024-01-19,10431.384462870237,10201.81497937163
2024-01-22,10420.477491132839,10223.38463979689
2024-01-23,10418.315299916185,10253.20152332593
2024-01-24,10442.875485765418,10264.409288056702
2024-01-25,10622.386061650863,10320.236644451497
2024-01-26,10562.247324218228,10307.125674389084
2024-01-29,10625.167476289562,10388.752036390564
2024-01-30,10580.003182825943,10380.71628054586
2024-01-31,10405.099673401586,10211.331006029834
2024-02-01,10513.427382922264,10344.978313762827
2024-02-02,10631.743256026773,10453.883952184493
2024-02-05,10521.414586378804,10415.819845551678
2024-02-06,10549.913727242765,10446.059663598859
2024-02-07,10607.665067292792,10533.184174336191
2024-02-08,10618.978425981844,10537.836454035756
2024-02-09,10659.026318211601,10598.739024648261
2024-02-12,10693.990011963662,10594.086744948696
2024-02-13,10600.845044866333,10448.17433618957
2024-02-14,10741.720490688556,10543.123135512536
2024-02-15,10861.76219418655,10615.867872633027
2024-02-16,10838.088809778259,10563.001057865229
2024-02-20,10709.550225453482,10504.84756162065
2024-02-21,10699.653839706054,10514.363588278855
2024-02-22,10973.340462202976,10731.963397863114
2024-02-23,10930.655608989797,10739.364751930605
2024-02-26,10916.651621847413,10700.031841743363
2024-02-27,10962.28083633242,10719.909764096055
2024-02-28,10973.750437372712,10705.741457738286
2024-02-29,11108.948013274216,10744.228498889242
2024-03-01,11203.154365947175,10845.098381466203
2024-03-04,11257.673723182796,10833.467682217286
2024-03-05,11123.045037801137,10725.196445572836
2024-03-06,11209.91246498933,10779.543531154131
2024-03-07,11283.31389489113,10886.545964244155
2024-03-08,11196.393363534644,10821.202581191159
2024-03-11,11120.551835400853,10811.898021792025
2024-03-12,11217.746830244345,10928.205014281182
2024-03-13,11132.386118230781,10911.076166296416
2024-03-14,11044.655021679579,10889.506505871153
