Fecha,Portafolio_Conservador,SPY_Benchmark
2024-01-02,9994.999999999998,9995.0
2024-01-03,9875.511339431627,9913.37363799852
2024-01-04,9864.595753884638,9881.44208187877
2024-01-05,9815.058642375727,9894.975986459327
2024-01-08,9955.356399893459,10036.236115518885
2024-01-09,9960.959805996486,10021.010472865759
2024-01-10,9963.851373888887,10077.683698296838
2024-01-11,10033.319215370448,10073.242885856343
2024-01-12,10108.028950118058,10080.221305405692
2024-01-16,10086.67837460162,10043.214535068233
2024-01-17,10007.84037326516,9987.387178673438
2024-01-18,10102.576404830914,10076.20342748334
2024-01-19,10248.045904577832,10201.81497937163
2024-01-22,10292.348495476906,10223.38463979689
2024-01-23,10277.434025038046,10253.20152332593
2024-01-24,10250.84679470812,10264.409288056702
2024-01-25,10370.682887473997,10320.236644451497
2024-01-26,10305.428884704163,10307.125674389084
2024-01-29,10399.361470067877,10388.752036390564
2024-01-30,10361.741538833536,10380.71628054586
2024-01-31,10283.294272990905,10211.331006029834
2024-02-01,10397.353746865889,10344.978313762827
2024-02-02,10427.281444707765,10453.883952184493
2024-02-05,10379.493947916375,10415.819845551678
2024-02-06,10387.209408714994,10446.059663598859
2024-02-07,10427.52590657237,10533.184174336191
2024-02-08,10451.589164122177,10537.836454035756
2024-02-09,10476.835810748462,10598.739024648261
2024-02-12,10480.384119571714,10594.086744948696
2024-02-13,10243.096505674146,10448.17433618957
2024-02-14,10358.065421959598,10543.123135512536
2024-02-15,10455.016463225498,10615.867872633027
2024-02-16,10415.738078812803,10563.001057865229
2024-02-20,10345.688807255394,10504.84756162065
2024-02-21,10333.152649434001,10514.363588278855
2024-02-22,10525.623628225907,10731.963397863114
2024-02-23,10515.771621841652,10739.364751930605
2024-02-26,10546.563850636938,10700.031841743363
2024-02-27,10538.199988116185,10719.909764096055
2024-02-28,10558.74164620642,10705.741457738286
2024-02-29,10606.023288862842,10744.228498889242
2024-03-01,10788.874874749992,10845.098381466203
2024-03-04,10817.242359420592,10833.467682217286
2024-03-05,10675.457513652882,10725.196445572836
2024-03-06,10721.767976814148,10779.543531154131
2024-03-07,10833.45121496994,10886.545964244155
2024-03-08,10672.232168970235,10821.202581191159
2024-03-11,10599.6857298486,10811.898021792025
2024-03-12,10642.394626375086,10928.205014281182
2024-03-13,10540.471767303005,10911.076166296416
2024-03-14,10513.777191521078,10889.506505871153
2024-03-15,10443.712163766699,10781.235269226701
2024-03-18,10441.475383977662,10845.309848725274
2024-03-19,10532.470384428918,10905.578017560565
2024-03-20,10624.778743901916,11006.447900137524
2024-03-21,10714.25812311097,11042.820268697771
2024-03-22,10681.126753167578,11021.885010049722
2024-03-25,10604.783405609858,10991.433724743469
2024-03-26,10591.79992964338,10971.132867872633
2024-03-27,10641.953870528574,11063.332592827674
2024-03-28,10645.283629667641,11061.217920236964
2024-04-01,10579.624080165322,11041.974399661483
2024-04-02,10499.545499495984,10971.767269649848
2024-04-03,10556.194855883208,10983.820903416905
2024-04-04,10478.336839601225,10849.75066116577
2024-04-05,10499.63575335521,10963.097112027928
2024-04-08,10518.213544686543,10969.229662540994
2024-04-09,10541.665290767658,10981.917698085266
2024-04-10,10377.856520967618,10871.954723368244
2024-04-11,10464.09620473662,10954.004019887867
2024-04-12,10372.615342884168,10802.804929651964
2024-04-15,10252.116848261683,10667.465883846398
2024-04-16,10213.859997362348,10648.010896011849
2024-04-17,10117.179131352206,10584.993652808635
2024-04-18,10033.524478315718,10563.2125251243
2024-04-19,9947.04689084263,10471.012800169261
2024-04-22,9997.086424188477,10567.441870305725
2024-04-23,10082.995132550772,10692.841954934942
2024-04-24,10035.572684145794,10687.766740717234
2024-04-25,10096.648901211756,10647.165026975565
2024-04-26,10186.658775917476,10748.034909552523
2024-04-29,10247.663678722807,10786.099016185339
2024-04-30,10052.309675950994,10615.233470855816
2024-05-01,9957.001843088787,10580.76430762721
2024-05-02,10018.51054830206,10679.730984872527
2024-05-03,10129.89749132597,10812.109489051096
2024-05-06,10233.152288337056,10923.764201840688
2024-05-07,10222.623294188212,10935.817835607744
2024-05-08,10233.122266803988,10936.875171903102
2024-05-09,10003.940032011076,10999.892415106317
2024-05-10,10050.090464388757,11014.060721464088
2024-05-13,10070.759607692702,11015.540992277585
