Fecha,Portafolio_Especulativo,SPY_Benchmark
2024-01-02,9995.0,9995.0
2024-01-03,9827.902146723975,9913.37363799852
2024-01-04,9897.78888272182,9881.44208187877
2024-01-05,9930.470200235235,9894.975986459327
2024-01-08,10132.288893571793,10036.236115518885
2024-01-09,10181.798424160794,10021.010472865759
2024-01-10,10230.531475937492,10077.683698296838
2024-01-11,10236.311453071792,10073.242885856343
2024-01-12,10259.252870942255,10080.221305405692
2024-01-16,10335.116215350832,10043.214535068233
2024-01-17,10274.594504352504,9987.387178673438
2024-01-18,10406.874406251214,10076.20342748334
2024-01-19,10603.805848436485,10201.81497937163
2024-01-22,10593.662127218777,10223.38463979689
2024-01-23,10586.684586135498,10253.20152332593
2024-01-24,10633.573619089875,10264.409288056702
2024-01-25,10843.983079461716,10320.236644451497
2024-01-26,10758.879372923526,10307.125674389084
2024-01-29,10852.742486592786,10388.752036390564
2024-01-30,10806.818391708895,10380.71628054586
2024-01-31,10600.786835656765,10211.331006029834
2024-02-01,10747.46103222758,10344.978313762827
2024-02-02,10937.288308971643,10453.883952184493
2024-02-05,10904.390554929627,10415.819845551678
2024-02-06,10852.307280552786,10446.059663598859
2024-02-07,10933.145157854255,10533.184174336191
2024-02-08,10948.592775802592,10537.836454035756
2024-02-09,11048.3479256543,10598.739024648261
2024-02-12,11093.200795514298,10594.086744948696
2024-02-13,10983.860047126027,10448.17433618957
2024-02-14,11161.165628055693,10543.123135512536
2024-02-15,11261.13397664638,10615.867872633027
2024-02-16,11200.679727297795,10563.001057865229
2024-02-20,10993.685357337408,10504.84756162065
2024-02-21,10957.501490551027,10514.363588278855
2024-02-22,11430.746695678865,10731.963397863114
2024-02-23,11399.941227978436,10739.364751930605
2024-02-26,11401.991377728824,10700.031841743363
2024-02-27,11458.958662906813,10719.909764096055
2024-02-28,11449.827804039307,10705.741457738286
2024-02-29,11623.353856395439,10744.228498889242
2024-03-01,11792.383175303261,10845.098381466203
2024-03-04,11920.665627504626,10833.467682217286
2024-03-05,11820.406248169314,10725.196445572836
2024-03-06,11973.574665032778,10779.543531154131
2024-03-07,12147.884021222262,10886.545964244155
2024-03-08,11936.659117000572,10821.202581191159
2024-03-11,11802.972000982467,10811.898021792025
2024-03-12,12021.813555200071,10928.205014281182
2024-03-13,11920.34700457999,10911.076166296416
2024-03-14,11770.614851184624,10889.506505871153
2024-03-15,11805.808789564851,10781.235269226701
2024-03-18,11832.273873203452,10845.309848725274
2024-03-19,11852.094691650975,10905.578017560565
2024-03-20,11906.551362161974,11006.447900137524
2024-03-21,11943.011107225693,11042.820268697771
2024-03-22,11935.883751452238,11021.885010049722
2024-03-25,11903.006776162856,10991.433724743469
2024-03-26,11879.463105453691,10971.132867872633
2024-03-27,11950.746128455216,11063.332592827674
2024-03-28,11986.645685751068,11061.217920236964
2024-04-01,11924.046272883263,11041.974399661483
2024-04-02,11801.032239628985,10971.767269649848
2024-04-03,11819.275131119035,10983.820903416905
2024-04-04,11533.994732026003,10849.75066116577
2024-04-05,11694.080276605075,10963.097112027928
2024-04-08,11704.962322806115,10969.229662540994
2024-04-09,11655.311436176633,10981.917698085266
2024-04-10,11548.43643524226,10871.954723368244
2024-04-11,11633.487609944867,10954.004019887867
2024-04-12,11469.897706073076,10802.804929651964
2024-04-15,11291.596528228196,10667.465883846398
2024-04-16,11275.10787167347,10648.010896011849
2024-04-17,11057.52653330002,10584.993652808635
2024-04-18,11092.255447342624,10563.2125251243
2024-04-19,10864.605096001485,10471.012800169261
2024-04-22,11002.530319805912,10567.441870305725
2024-04-23,11204.819422671033,10692.841954934942
2024-04-24,11094.154859528115,10687.766740717234
2024-04-25,11273.206184838511,10647.165026975565
2024-04-26,11433.613816247173,10748.034909552523
2024-04-29,11545.521153735097,10786.099016185339
2024-04-30,11376.970490073849,10615.233470855816
2024-05-01,11182.920966771295,10580.76430762721
2024-05-02,11285.162142089526,10679.730984872527
2024-05-03,11450.207977859442,10812.109489051096
2024-05-06,11674.848947191893,10923.764201840688
2024-05-07,11649.179542421309,10935.817835607744
2024-05-08,11668.208380507243,10936.875171903102
2024-05-09,11465.10610772902,10999.892415106317
