Fecha,Portafolio_Normal,SPY_Benchmark
2024-01-02,9995.0,9995.0
2024-01-03,9834.681486620386,9913.37363799852
2024-01-04,9879.445898885622,9881.44208187877
2024-01-05,9888.933880864079,9894.975986459327
2024-01-08,10115.603517766716,10036.236115518885
2024-01-09,10168.279890868505,10021.010472865759
2024-01-10,10195.051871794642,10077.683698296838
2024-01-11,10244.329149723066,10073.242885856343
2024-01-12,10294.214280613516,10080.221305405692
2024-01-16,10407.392788370777,10043.214535068233
2024-01-17,10356.344077569758,9987.387178673438
2024-01-18,10499.069743184073,10076.20342748334
2024-01-19,10779.163730269713,10201.81497937163
2024-01-22,10777.056865429178,10223.38463979689
2024-01-23,10777.365332089628,10253.20152332593
2024-01-24,10870.959871457464,10264.409288056702
2024-01-25,11009.800820893219,10320.236644451497
2024-01-26,10912.60000240729,10307.125674389084
2024-01-29,11007.041451390485,10388.752036390564
2024-01-30,10949.592485450097,10380.71628054586
2024-01-31,10778.60417240991,10211.331006029834
2024-02-01,10905.767360902186,10344.978313762827
2024-02-02,11083.177322099364,10453.883952184493
2024-02-05,11088.422357062196,10415.819845551678
2024-02-06,11018.086339023595,10446.059663598859
2024-02-07,11132.024047867948,10533.184174336191
2024-02-08,11160.507471962093,10537.836454035756
2024-02-09,11254.869884739337,10598.739024648261
2024-02-12,11262.0741261692,10594.086744948696
2024-02-13,11050.804735347316,10448.17433618957
2024-02-14,11254.60704244954,10543.123135512536
2024-02-15,11312.573294768019,10615.867872633027
2024-02-16,11261.363689031368,10563.001057865229
2024-02-20,11064.10825768096,10504.84756162065
2024-02-21,11009.450417133805,10514.363588278855
2024-02-22,11550.950035863625,10731.963397863114
2024-02-23,11489.482257579097,10739.364751930605
2024-02-26,11522.279833259236,10700.031841743363
2024-02-27,11519.386198758022,10719.909764096055
2024-02-28,11502.473084723993,10705.741457738286
2024-02-29,11683.301840972117,10744.228498889242
2024-03-01,11950.876336890247,10845.098381466203
2024-03-04,12075.616124674256,10833.467682217286
2024-03-05,11938.244530819191,10725.196445572836
2024-03-06,12087.711317315407,10779.543531154131
2024-03-07,12277.903496281828,10886.545964244155
2024-03-08,11987.845759096512,10821.202581191159
2024-03-11,11842.650563317426,10811.898021792025
2024-03-12,12041.704038800648,10928.205014281182
2024-03-13,11883.1997680621,10911.076166296416
2024-03-14,11740.582550354033,10889.506505871153
2024-03-15,11732.605958475631,10781.235269226701
2024-03-18,11745.09915824137,10845.309848725274
2024-03-19,11778.49182803673,10905.578017560565
2024-03-20,11865.351097784576,11006.447900137524
2024-03-21,11966.794696605051,11042.820268697771
2024-03-22,12010.21893507782,11021.885010049722
2024-03-25,11970.313387170925,10991.433724743469
2024-03-26,11924.047977783659,10971.132867872633
2024-03-27,11936.266855431028,11063.332592827674
2024-03-28,11974.057478194576,11061.217920236964
2024-04-01,11948.49876727357,11041.974399661483
2024-04-02,11819.277160626703,10971.767269649848
2024-04-03,11867.894716304416,10983.820903416905
2024-04-04,11594.670210676877,10849.75066116577
2024-04-05,11723.019628100625,10963.097112027928
2024-04-08,11721.391692031799,10969.229662540994
2024-04-09,11676.259987934582,10981.917698085266
