ticker,return_annualized,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95,beta,skewness,kurtosis,cluster_kmeans,cluster_agglomerative,cluster_hierarchical,is_outlier_dbscan
A,0.0546331952212979,0.2823167507096442,0.151784015538313,0.1532832684572669,-0.4356871932173137,-0.0294142630665037,-0.0377214599259577,1.0484190924889285,0.2395810459853321,2.063033541705789,3,1,3,False
AAL,-0.0318050863880059,0.4697747442343051,0.0588190954849561,0.0614898895485079,-0.5770720371804803,-0.0443312533728646,-0.0620139445085511,1.4070436202150227,0.1935635945384148,1.2475443694455373,2,0,0,False
AAP,-0.2721336811550373,0.3973050006919471,-0.707455151379356,-0.6065613595625945,-0.8005456574759208,-0.0356108697808663,-0.0617241306876116,0.9114498031138428,-4.070075817459554,52.14647771546468,-1,-1,-1,True
AAPL,0.1425274927413924,0.2779685574560556,0.4378040250054178,0.4411946291416618,-0.3131146640294489,-0.029793863847231,-0.0385378826186156,1.2637358625871926,0.1025407256748479,1.734805389582093,1,2,1,False
ABBV,0.1379794086435284,0.2084123996835791,0.4848299510348164,0.4400116843759721,-0.2426268861454047,-0.0192686353236933,-0.0324273835307026,0.3610266865376126,-0.9512094698992438,4.925629658572442,3,1,3,False
ABT,0.0029424126769672,0.2279570086143229,-0.0923103334327413,-0.0897005401422232,-0.3624346104905981,-0.0222607048620243,-0.0321125385567661,0.726029551229687,-0.2377277807421404,4.174522738605395,3,1,3,False
ACN,0.1108959696848626,0.2563110319458827,0.3428724567314605,0.3409578203355518,-0.4074189976409417,-0.0261923858408889,-0.0366875974452504,1.152408213772094,0.0585824702242739,2.173147395724448,3,1,3,False
ADBE,0.071677851431408,0.3609337412679153,0.2358540656123839,0.2218244646554256,-0.6002150006537182,-0.0341581186473319,-0.05457693614385,1.463840226154724,-0.8043911198502784,5.665175126686329,2,0,0,False
ADI,0.1085848110595768,0.3039313238680738,0.3261949330365413,0.3257397919864486,-0.2757944915254238,-0.0311454408206944,-0.0411676800189141,1.2814419253173197,0.0057171331418301,1.1404434400235908,1,2,1,False
ADM,0.1322395145545194,0.2523962513958886,0.4205034656017007,0.3899920512449439,-0.2927102423131745,-0.0264668873380191,-0.0401752880745108,0.6288695362318812,-0.6108132898308374,2.110691051250433,3,1,3,False
ADP,0.113765145124578,0.2306715759188093,0.3658237720674057,0.3541825320373803,-0.2256761763616153,-0.0217672023446172,-0.0337016235707618,0.8999848484264092,-0.5149711425533143,5.420301091607923,3,1,3,False
AEE,-0.0169813955634982,0.2067479684577074,-0.2209180325916695,-0.207610588959148,-0.2779413257537306,-0.0218078290359285,-0.031028137709628,0.4602261744696475,-0.4575543157621413,2.478651003002725,3,3,2,False
AEP,-0.0013179800734716,0.2048469280028145,-0.1480297126124722,-0.140617909768254,-0.3218292451036319,-0.0219432570023633,-0.0297647871502099,0.489614745397348,-0.2009248840830337,1.2488073210311526,3,3,2,False
AES,-0.0612228347463246,0.3295111356666882,-0.1789362488008432,-0.1806872605428689,-0.5746498120942946,-0.0332491156195198,-0.0462897104853523,1.0980247840719572,0.1581055962492034,2.073678711215773,2,0,0,False
AFL,0.2424272634320061,0.2133589996299861,0.888999659571767,0.8808392551608349,-0.2042930051035726,-0.0219879713231019,-0.0285515555489732,0.7081622167450199,0.059382333667841,1.610655350545096,1,2,1,False
AGG,-0.0564935739615153,0.066587924964921,-1.5900945276565577,-1.5902438885988743,-0.2233988478481871,-0.0068519167835437,-0.0092189480118656,0.0851683957605126,0.1776600954935172,1.502090852883264,0,3,2,False
AIG,0.2234918681601074,0.2948328225188666,0.6612965961931353,0.6609787632928728,-0.2694035631293571,-0.030162374400215,-0.0409310433552683,0.9666375397303862,0.0627585866190841,1.4283822194810685,1,2,1,False
AIZ,0.0850033368072094,0.260139739766253,0.2513177125028327,0.2396297196129319,-0.4567108533554266,-0.0246957666818393,-0.0367993238210994,0.5989197233869299,-0.0649969910933554,9.277373565315331,3,1,3,False
AJG,0.2336607165548039,0.2172833573233303,0.8447192019230625,0.8019675457512214,-0.1906054846592451,-0.0205378728440847,-0.0312156341882669,0.7877848792772809,-0.4210974567760088,2.248646800425423,1,2,1,False
AKAM,0.0401624066439201,0.2655207753432634,0.0936448592815919,0.0862241404034256,-0.4197014435695538,-0.0240289259197502,-0.0394360878594151,0.7715387919253854,-0.6962033223579988,7.975854545784026,3,1,3,False
ALB,-0.0182369045839939,0.4905730130438728,0.1079586040060214,0.1057012183794624,-0.6519146843690454,-0.0487917507145334,-0.0681433429271479,1.4829603462727985,-0.3694860335474361,2.606332720737344,2,0,0,False
ALGN,-0.1967037366777124,0.5224223939581615,-0.2519778674436754,-0.2611507442706756,-0.7608231039017974,-0.0473359881076928,-0.0730535567356573,1.6958143421639813,0.1153566653409852,12.70922766855386,-1,-1,-1,True
ALK,-0.0746610068207479,0.3754356134205101,-0.1511015878162505,-0.1516985223010012,-0.5785191212367778,-0.035129680171546,-0.0512915379349352,1.180379755172304,-0.2688106147351934,2.569591946275833,2,0,0,False
ALL,0.0906170557860654,0.2598163051013551,0.2721621565392219,0.2646790636020299,-0.2966773251772557,-0.0222785406731564,-0.036562756189844,0.6147100497703523,-0.8072158961130216,6.298554318631313,3,1,3,False
ALLE,0.0345746684165568,0.2738262880340507,0.0782457021544958,0.0779875547409123,-0.3992439073786539,-0.0283944187738549,-0.0386624088644509,1.0105102033875468,-0.0145925974662772,2.316064512380986,3,1,3,False
AMAT,0.2326426074714593,0.4341379495772289,0.5829453462606393,0.5978528742096512,-0.5544311377245509,-0.0425174063292646,-0.0577088867973078,1.774788503752078,0.0523883735752646,0.495328580137377,2,0,0,False
AMCR,-0.0541345498472315,0.2332147588633704,-0.3363179669025095,-0.3229252163247699,-0.3736100815418829,-0.0222623406723472,-0.0323333963731718,0.812798009164939,0.0585030364168098,4.400439379120812,0,3,2,False
AMD,0.1700250909532039,0.5092296355987713,0.4636215651614446,0.4875756556318244,-0.6544994132542771,-0.0517299859057258,-0.0673832298690818,1.961742194853365,0.1627062359292609,1.5167168275052751,2,0,0,False
AME,0.1175561199991555,0.208586900291241,0.3968759432768334,0.393491033363433,-0.2731836374737127,-0.0219518584635926,-0.0281645078647664,0.8764574954296128,0.0460717635670666,0.9217264148680018,3,1,3,False
AMGN,0.0836712757346005,0.208727618081492,0.249228449326974,0.2620265590861466,-0.2671774000478812,-0.0195841242954227,-0.0278096057641306,0.4179353074562784,0.1854024830135534,4.528723877729618,3,1,3,False
AMP,0.2657744501816836,0.2933033796439789,0.7794978699068296,0.7827384133832359,-0.3209568446040537,-0.0304303989349912,-0.0422993681558613,1.277660303973155,-0.1969855399251402,1.3787972969209965,1,2,1,False
